top_rank,name,percent,no.unrelated_features
1,unrelated_column_one,1.0,1
2,c_charge_degree_F,0.021035598705501618,1
2,c_charge_degree_M,0.03398058252427184,1
2,race,0.8300970873786407,1
2,sex_Female,0.045307443365695796,1
2,sex_Male,0.05177993527508091,1
2,two_year_recid,0.011326860841423949,1
2,unrelated_column_two,0.006472491909385114,1
3,age,0.0048543689320388345,1
3,c_charge_degree_F,0.12297734627831715,1
3,c_charge_degree_M,0.11974110032362459,1
3,length_of_stay,0.003236245954692557,1
3,priors_count,0.016181229773462782,1
3,race,0.10517799352750809,1
3,sex_Female,0.18932038834951456,1
3,sex_Male,0.18122977346278318,1
3,two_year_recid,0.1407766990291262,1
3,unrelated_column_two,0.11650485436893204,1
1,c_charge_degree_F,0.011326860841423949,2
1,c_charge_degree_M,0.008090614886731391,2
1,length_of_stay,0.003236245954692557,2
1,race,0.01779935275080906,2
1,sex_Female,0.01779935275080906,2
1,sex_Male,0.038834951456310676,2
1,two_year_recid,0.009708737864077669,2
1,unrelated_column_one,0.46601941747572817,2
1,unrelated_column_two,0.42718446601941745,2
2,age,0.0048543689320388345,2
2,c_charge_degree_F,0.05339805825242718,2
2,c_charge_degree_M,0.06796116504854369,2
2,length_of_stay,0.0016181229773462784,2
2,priors_count,0.003236245954692557,2
2,race,0.05501618122977346,2
2,sex_Female,0.07928802588996764,2
2,sex_Male,0.04854368932038835,2
2,two_year_recid,0.0372168284789644,2
2,unrelated_column_one,0.3284789644012945,2
2,unrelated_column_two,0.32038834951456313,2
3,age,0.006472491909385114,2
3,c_charge_degree_F,0.0970873786407767,2
3,c_charge_degree_M,0.11326860841423948,2
3,length_of_stay,0.008090614886731391,2
3,priors_count,0.011326860841423949,2
3,race,0.11650485436893204,2
3,sex_Female,0.18608414239482202,2
3,sex_Male,0.13915857605177995,2
3,two_year_recid,0.09546925566343042,2
3,unrelated_column_one,0.11003236245954692,2
3,unrelated_column_two,0.11650485436893204,2
